Governate,Area Name,ATM Name,Latitude,Longitude,Description
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.912211,30.170589,Withdrawal
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.9107890830001,30.1770190500001,Withdrawal -Deposit – Forex
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.814059021,29.988302447,Withdrawal -Deposit – Forex
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.91584,30.176447,Withdrawal
Al-Behera,Abu Al Matamir,Higher Institute of Administrative Scie. Janaklis,30.8601142,30.15493118,"سحب فقط"
Al-Behera,Abu Al Matamir,Etsalat - Almostaqbal Franchiez -Abo Almatamir,30.9063534,30.1736873,"سحب فقط"
Al-Behera,Abu Al Matamir,Etsalat Albehera,30.91158881,30.17717889,"سحب فقط"
Al-Behera,Abu Al Matamir,Abo Almatamir Health Administration,30.912211,30.170589,"Cash Dispenser only"
Al-Behera,Abu Al Matamir,Abu Almatamir Central Hospital,30.91584,30.176447,"Cash Dispenser only"
Al-Behera,Abu Al Matamir,Tamwely Abu El Matamir,30.91290404,30.17689168,"withdrawal,deposit"
Al-Behera,Abu Al Matamir,Tanmiya Abu El Matamir,30.91144225,30.17490715,"withdrawal,deposit "
Al-Behera,Abu Al Matamir,Tanmiya Nasser,30.92230447,29.95121672,"withdrawal,deposit"
Al-Behera,Abu Homos,Abu Homos,31.099697,30.311892,Withdrawal
Al-Behera,Abu Homos,Abu Homos,31.100602,30.31555,Withdrawal
Al-Behera,Abu Homos,Abu Homos,31.1033,30.310782,Withdrawal
Al-Behera,Abu Homos,Abu Homos,31.0978261990001,30.314743218,Withdrawal -Deposit – Forex
Al-Behera,Abu Homos,Abu Homos,31.105004,30.314502,Withdrawal
Al-Behera,Abu Homos,Abo Homos Educational Administration,31.1033,30.310782,withdrawal only
Al-Behera,Abu Homos,The local unit Abo Homos,31.100602,30.31555,withdrawal only
Al-Behera,Abu Homos,Abu Homos Central Hospital,31.105004,30.314502,"Cash Dispenser only"
Al-Behera,Abu Homos,Abo Homos Health Administration,31.099697,30.311892,"Cash Dispenser only"
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.182750578,30.5275566920001,Withdrawal -Deposit - Forex
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.184945,30.52952,Withdrawal
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.175947,30.529477,Withdrawal
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.183878,30.519738,Withdrawal
Al-Behera,Al Mahmoudeya,Misr Exchange Almahmoudia,31.1824926,30.52713284,"سحب فقط"
Al-Behera,Al Mahmoudeya,Etsalat - Almostaqbal Franchiez -Almahmoudia,31.1838385,30.52745446,"سحب فقط"
Al-Behera,Al Mahmoudeya,Alatf Electricity Production Station - Mahmoudiya,31.184945,30.52952,withdrawal only
Al-Behera,Al Mahmoudeya,Mahmoudia power plant,31.175947,30.529477,withdrawal only
Al-Behera,Al Mahmoudeya,Mahmoudia General Hospital,31.183878,30.519738,withdrawal only
Al-Behera,Al Mahmoudeya,Tanmiya Mahmoudia,31.18416312,30.52710423,"withdrawal,deposit"
Al-Behera,Al Rahmaneya,Al Rahmaneya,31.1069183720001,30.6417291550001,Withdrawal -Deposit - Forex
Al-Behera,Al Rahmaneya,Al Rahmaneya,31.103395,30.638362,Withdrawal
Al-Behera,Al Rahmaneya,Tanmiya Rahmania,31.10958367,30.63910172,"withdrawal,deposit"
Al-Behera,All Areas,Wady El- Natroun,30.39891242980957,30.36785316467285,Withdraws -Deposits- Forex
Al-Behera,All Areas,Al Rahmaneya,31.1069183720001,30.6417291550001,Withdrawal -Deposit - Forex
Al-Behera,All Areas,Housh Eissa,30.9135036000001,30.293657642,Withdrawal
Al-Behera,All Areas,Shabrakhiet,31.024659,30.607641,Withdrawal
Al-Behera,All Areas,Al Mahmoudeya,31.182750578,30.5275566920001,Withdrawal -Deposit - Forex
Al-Behera,All Areas,Koum Hamada,30.763683,30.704811,Withdrawal -Deposit - Forex
Al-Behera,All Areas,Al Rahmaneya,31.103395,30.638362,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.886466,30.662967,Withdrawal
Al-Behera,All Areas,Markaz Badr,30.571713,30.711668,Withdrawal
Al-Behera,All Areas,Housh Eissa,30.912765,30.295561,Withdrawal
Al-Behera,All Areas,Damanhour,31.026177,30.451221,Withdrawal
Al-Behera,All Areas,Abu Al Matamir,30.912211,30.170589,Withdrawal
Al-Behera,All Areas,El Dalangat,30.829702,30.535141,Withdrawal
Al-Behera,All Areas,Abu Homos,31.099697,30.311892,Withdrawal
Al-Behera,All Areas,Markaz Badr,30.57747,30.710336,Withdrawal
Al-Behera,All Areas,Damanhour,31.051574,30.463915,Withdrawal
Al-Behera,All Areas,Alnobaria Algadida,30.670594383,30.0727764270001,Withdrawal
Al-Behera,All Areas,Markaz Badr,30.663293,30.566847,Withdrawal
Al-Behera,All Areas,Abu Homos,31.100602,30.31555,Withdrawal
Al-Behera,All Areas,El Dalangat,30.768322,30.594444,Withdrawal
Al-Behera,All Areas,Damanhour,31.032701,30.464771,Withdrawal
Al-Behera,All Areas,Abu Homos,31.1033,30.310782,Withdrawal
Al-Behera,All Areas,Abu Homos,31.0978261990001,30.314743218,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Markaz Badr,30.5772673060001,30.710091317,Withdrawal
Al-Behera,All Areas,Damanhour,31.036388,30.457638,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Damanhour,31.037774,30.433125,Withdrawal -Deposit – Forex
