Governate,Area Name,ATM Name,Latitude,Longitude,Description
Al-Behera,All Areas,Al Mahmoudeya,31.18275058,30.52755669,Withdrawal -Deposit - Forex
Al-Behera,All Areas,Koum Hamada,30.763683,30.704811,Withdrawal -Deposit - Forex
Al-Behera,All Areas,Al Rahmaneya,31.103395,30.638362,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.886466,30.662967,Withdrawal
Al-Behera,All Areas,Markaz Badr,30.571713,30.711668,Withdrawal
Al-Behera,All Areas,Housh Eissa,30.912765,30.295561,Withdrawal
Al-Behera,All Areas,Damanhour,31.026177,30.451221,Withdrawal
Al-Behera,All Areas,Abu Al Matamir,30.912211,30.170589,Withdrawal
Al-Behera,All Areas,El Dalangat,30.829702,30.535141,Withdrawal
Al-Behera,All Areas,Abu Homos,31.099697,30.311892,Withdrawal
Al-Behera,All Areas,Markaz Badr,30.57747,30.710336,Withdrawal
Al-Behera,All Areas,Damanhour,31.051574,30.463915,Withdrawal
Al-Behera,All Areas,Alnobaria Algadida,30.67059438,30.07277643,Withdrawal
Al-Behera,All Areas,Markaz Badr,30.663293,30.566847,Withdrawal
Al-Behera,All Areas,Abu Homos,31.100602,30.31555,Withdrawal
Al-Behera,All Areas,El Dalangat,30.768322,30.594444,Withdrawal
Al-Behera,All Areas,Damanhour,31.032701,30.464771,Withdrawal
Al-Behera,All Areas,Abu Homos,31.1033,30.310782,Withdrawal
Al-Behera,All Areas,Abu Homos,31.0978262,30.31474322,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Markaz Badr,30.57726731,30.71009132,Withdrawal
Al-Behera,All Areas,Damanhour,31.036388,30.457638,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Damanhour,31.037774,30.433125,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Damanhour,31.052879,30.462731,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Alnobaria Algadida,30.671835,30.073109,Withdrawal
Al-Behera,All Areas,Damanhour,31.03936,30.455253,Withdrawal
Al-Behera,All Areas,Damanhour,31.03975,30.458095,Withdrawal
Al-Behera,All Areas,Rashid,31.40631062,30.4238614,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Shabrakhiet,31.03052168,30.71357679,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Alnobaria Algadida,30.632194,30.2275,Withdrawal
Al-Behera,All Areas,Alnobaria Algadida,30.662002,30.08606,Withdrawal
Al-Behera,All Areas,Damanhour,31.044442,30.470853,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.88483388,30.66364617,Withdrawal
Al-Behera,All Areas,Abu Al Matamir,30.91078908,30.17701905,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Damanhour,31.03450281,30.47469798,Withdrawal
Al-Behera,All Areas,Damanhour,31.03449464,30.47471262,Withdrawal
Al-Behera,All Areas,Damanhour,31.04241948,30.46890924,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Abu Al Matamir,30.81405902,29.98830245,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Housh Eissa,30.91770833,30.30043628,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Kafr Al-Dawar,31.13386822,30.13512986,Withdrawal
Al-Behera,All Areas,Koum Hamada,30.7637539,30.69974764,Withdrawal -Deposit – Forex
Al-Behera,All Areas,El Dalangat,30.827806,30.536877,Withdrawal
Al-Behera,All Areas,El Dalangat,30.82785,30.536831,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.884864,30.665297,Withdrawal
Al-Behera,All Areas,Housh Eissa,30.915766,30.297315,Withdrawal
Al-Behera,All Areas,Rashid,31.40487,30.423086,Withdrawal
Al-Behera,All Areas,Kafr Al-Dawar,31.135432,30.129149,Withdrawal
Al-Behera,All Areas,Koum Hamada,30.760111,30.694501,Withdrawal
Al-Behera,All Areas,Wady Elnatroon,30.395427,30.37151,Withdrawal
Al-Behera,All Areas,Shabrakhiet,31.027977,30.711581,Withdrawal
Al-Behera,All Areas,Al Mahmoudeya,31.184945,30.52952,Withdrawal
Al-Behera,All Areas,Al Mahmoudeya,31.175947,30.529477,Withdrawal
Al-Behera,All Areas,Koum Hamada,30.699037,30.668604,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.886553,30.667319,Withdrawal
Al-Behera,All Areas,Damanhour,31.036522,30.456495,Withdrawal
Al-Behera,All Areas,Damanhour,31.04408,30.475274,Withdrawal
Al-Behera,All Areas,Abu Homos,31.105004,30.314502,Withdrawal
Al-Behera,All Areas,Shabrakhiet,31.027458,30.704211,Withdrawal
Al-Behera,All Areas,Kafr Al-Dawar,31.139199,30.121385,Withdrawal
Al-Behera,All Areas,Kafr Al-Dawar,31.139143,30.12155,Withdrawal
Al-Behera,All Areas,Rashid,31.392898,30.414696,Withdrawal
Al-Behera,All Areas,El Dalangat,30.833752,30.530286,Withdrawal
Al-Behera,All Areas,Kafr Al-Dawar,31.130591,30.122248,Withdrawal
Al-Behera,All Areas,Al Mahmoudeya,31.183878,30.519738,Withdrawal
Al-Behera,All Areas,Abu Al Matamir,30.91584,30.176447,Withdrawal
Al-Behera,All Areas,Rashid,31.288168,30.513992,Withdrawal
Al-Behera,All Areas,Damanhour,31.041921,30.473102,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.880486,30.653383,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Edco,31.301812,30.301819,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Damanhour,31.040307,30.468207,Withdrawal
Al-Behera,All Areas,Misr Exchange Almahmoudia,31.1824926,30.52713284,"سحب فقط"
Al-Behera,All Areas,19011 Pharmacy Damanhour,31.04438807,30.4667885,"سحب فقط"
Al-Behera,All Areas,Higher Institute of Administrative Scie. Janaklis,30.8601142,30.15493118,"سحب فقط"
Al-Behera,All Areas,Etsalat - Almostaqbal Franchiez -Abo Almatamir,30.9063534,30.1736873,"سحب فقط"
Al-Behera,All Areas,Etsalat Albehera,30.91158881,30.17717889,"سحب فقط"
Al-Behera,All Areas,Etisalat -Franchiez Almostaqbal - Albostan,30.82974495,30.52961337,"سحب فقط"
Al-Behera,All Areas,Etsalat - Almostaqbal Franchiez -Almahmoudia,31.1838385,30.52745446,"سحب فقط"
Al-Behera,All Areas,Albuhiera Azhar Area 2,31.05193166,30.46430279,"سحب - إيداع - تغيير عملة"
Al-Behera,All Areas,Middle Damanhour Electricity Company,31.04444207,30.47085251,"سحب فقط"
Al-Behera,All Areas,Damanhour train station,31.03428061,30.46823018,"سحب فقط"
Al-Behera,All Areas,Alekhlas Mall,30.7009946,30.2682834,"سحب فقط"
Al-Behera,All Areas,Saft Alinab Local Unit,30.81082688,30.68590817,"سحب فقط"
Al-Behera,All Areas,Carrefour - Damanhour,31.03732147,30.45559064,"سحب - إيداع - تغيير عملة - صرف من الإيداعات GBRU"
Al-Behera,All Areas,Rashid Main Hospital,31.40949916,30.42373416,"سحب فقط"
Al-Behera,All Areas,Rashid Health Unit ,31.39517685,30.42186514,"سحب فقط"
Al-Behera,All Areas,The local unit Alwafaieah Village,30.76832208,30.59444399,"سحب فقط"
Al-Behera,All Areas,Waqed Village Local Unit,30.69531566,30.73931943,"سحب فقط"
Al-Behera,All Areas,Wady Alnatroun Hospital,30.39499563,30.37081886,"سحب - إيداع - تغيير عملة - صرف من الإيداعات GBRU"
Al-Behera,All Areas,Sharnoub Community Development Association,31.013742,30.57017929,"سحب - إيداع - تغيير عملة - صرف من الإيداعات GBRU"
Al-Behera,All Areas,We Ciao Mall Albuhira,31.0463062,30.4652941,"deposit,withdraw and exchange"
Al-Behera,All Areas,Alshamela Hospital Kafr Aldawar,31.130591,30.122248,withdrawal only 
Al-Behera,All Areas,Abo Homos Educational Administration,31.1033,30.310782,withdrawal only
Al-Behera,All Areas,The local unit Abo Homos,31.100602,30.31555,withdrawal only
Al-Behera,All Areas,Alatf Electricity Production Station - Mahmoudiya,31.184945,30.52952,withdrawal only
Al-Behera,All Areas,Mahmoudia power plant,31.175947,30.529477,withdrawal only
Al-Behera,All Areas,Mahmoudia General Hospital,31.183878,30.519738,withdrawal only
Al-Behera,All Areas,Damanhour State Cases Authority ,31.040307,30.468207,withdrawal only
Al-Behera,All Areas,General Office of the Middle Delta Company for the production of electricity in Damanhour,31.03936,30.455253,withdrawal only
Al-Behera,All Areas,Itay Albaroud Court,30.88655,30.667319,withdrawal only
Al-Behera,All Areas,General Office of Buhaira Governorate,31.03975,30.458095,withdrawal only
Al-Behera,All Areas,Kafr El-Dawwar City Branch 2,31.04241948,30.46890924,withdrawal only
Al-Behera,All Areas,Al Hoota Health Unit,30.86942495,30.70074488,"Full Function"
Al-Behera,All Areas,Wadi Alnatrun City Council,30.395427,30.37151,withdrawal
Al-Behera,All Areas,Kafr Aldawar Central Hospital,31.139199,30.121385,"Cash Dispenser only"
Al-Behera,All Areas,Itay Albaroud City Council,31.139199,30.121385,"Cash Dispenser only"
Al-Behera,All Areas,Itay Albaroud  Educational Administration,30.886466,30.662967,"Cash Dispenser only"
Al-Behera,All Areas,Shoubrakhit City Council,31.027977,30.711581,"Cash Dispenser only"
Al-Behera,All Areas,Behira Azhar Area,31.051574,30.463915,"Cash Dispenser only"
Al-Behera,All Areas,Albehira Agricultural Administration,31.026177,30.451221,"Cash Dispenser only"
Al-Behera,All Areas,Albuhaira Youth and Sports Directorate,31.036522,30.456495,"Cash Dispenser only"
Al-Behera,All Areas,The local unit of the Council and the city of Damanhur,31.032701,30.464771,"Cash Dispenser only"
Al-Behera,All Areas,Housh Iesa City Council,30.915766,30.297315,"Cash Dispenser only"
Al-Behera,All Areas,Laqana 0 Team Helmy Afifi Camp,31.024659,30.607641,"Cash Dispenser only"
Al-Behera,All Areas,Laqana 0 Team Helmy Afifi Camp,30.912765,30.295561,"Cash Dispenser only"
Al-Behera,All Areas,Alsorady Hypermarket - Damanhour,31.041921,30.473102,"Cash Dispenser only"
Al-Behera,All Areas,Directorate of Roads and Transportation in Beheira,31.04408,30.475274,"Cash Dispenser only"
Al-Behera,All Areas,Abu Homos Central Hospital,31.105004,30.314502,"Cash Dispenser only"
Al-Behera,All Areas,Delengat City Council,30.827806,30.536877,"Cash Dispenser only"
Al-Behera,All Areas,Aldelengat Health Administration,30.829702,30.535141,"Cash Dispenser only"
Al-Behera,All Areas,Koum Hamada City Council,30.760111,30.694501,"Cash Dispenser only"
Al-Behera,All Areas,Nubaria Power Station Khnaiza - Kom Hamada,30.699037,30.668604,"Cash Dispenser only"
Al-Behera,All Areas,Abo Almatamir Health Administration,30.912211,30.170589,"Cash Dispenser only"
Al-Behera,All Areas,badr Altahrir  Educational Administration,30.571713,30.711668,"Cash Dispenser only"
Al-Behera,All Areas,Badr Altahrir Health Administration,30.57747,30.710336,"Cash Dispenser only"
Al-Behera,All Areas,Alnagah Local unit,30.663293,30.566847,"Cash Dispenser only"
Al-Behera,All Areas,Shabrakhit General Hospital,31.027458,30.704211,"Cash Dispenser only"
Al-Behera,All Areas,Abu Almatamir Central Hospital,30.91584,30.176447,"Cash Dispenser only"
Al-Behera,All Areas,Kafr Aldawar Central Hospital 2,31.139143,30.12155,"Cash Dispenser only"
Al-Behera,All Areas,Delengat City Council 2,30.82785,30.536831,"Cash Dispenser only"
Al-Behera,All Areas,Dilangat Central Hospital,30.833752,30.530286,"Cash Dispenser only"
Al-Behera,All Areas,Rashid City Council,31.40487,30.423086,"Cash Dispenser only"
Al-Behera,All Areas,Dr. Pasha Hospital,31.392898,30.414696,"Cash Dispenser only"
Al-Behera,All Areas,Edfina Azharian Institute,31.288168,30.513992,"Cash Dispenser only"
Al-Behera,All Areas,Kafr Aldawar City Council,31.135432,30.129149,"Cash Dispenser only"
Al-Behera,All Areas,Damanhour University - Faculty of Commerce,31.037774,30.433125,"Full Function"
Al-Behera,All Areas,Ranin Damanhour,31.02842246,30.44735618,"Full Function"
Al-Behera,All Areas,The local unit  of Mahalet Fernoy,30.98201643,30.6542905,"Full Function"
Al-Behera,All Areas,The local unit of the village of Laqana,31.02393382,30.60350721,"Full Function"
Al-Behera,All Areas,The local unit of mahalet Beshr,31.05305248,30.69924925,"Full Function"
Al-Behera,All Areas,Agricultural Administration Itai El-Baroud - Beheira,30.88563219,30.65812817,"Full Function"
Al-Behera,All Areas,Etsalat - Almostaqbal Franchiez -Albehera,30.5761452,30.7090382,"Cash Dispenser only"
Al-Behera,All Areas,New Nubaria City Development Authority,30.671835,30.073109,"Cash Dispenser only"
Al-Behera,All Areas,Alwady Company For Feed - Alnoubaria,30.662002,30.08606,"Cash Dispenser only"
Al-Behera,All Areas,Noubaria Company for the manufacture and refining of sugar,30.632194,30.2275,"Cash Dispenser only"
Al-Behera,All Areas,Express Ahmed Orabi St. Koum hamada,30.763683,30.704811,"Full Function"
Al-Behera,All Areas,Itay Albaroud Electrical Engineering,30.880486,30.653383,"Full Function"
Al-Behera,All Areas,Edco Electrical Engineering -Rashid - Beheira Governorate,31.301812,30.301819,"Cash Dispenser only"
Al-Behera,All Areas,Abo Homos Health Administration,31.099697,30.311892,"Cash Dispenser only"
Al-Behera,All Areas,Damanhour University - Faculty of Pharmacy and Science,31.052879,30.462731,"Full Function"
Al-Behera,All Areas,Damanhour University - Faculty of Arts,31.036388,30.457638,"Full Function"
Al-Behera,All Areas,Tanmiya Rahmania,31.10958367,30.63910172,"withdrawal,deposit"
Al-Behera,All Areas,Tamwely Hosh Eissa,30.91038848,30.29732155,"withdrawal,deposit"
Al-Behera,All Areas,Tamwely Abu El Matamir,30.91290404,30.17689168,"withdrawal,deposit"
Al-Behera,All Areas,Tanmiya Abu El Matamir,30.91144225,30.17490715,"withdrawal,deposit "
Al-Behera,All Areas,Tamwely Al-Dalengat,30.82955574,30.53589971,"withdrawal ,deposit"
Al-Behera,All Areas,Tamwely Etay Al-Baroud,30.88808594,30.67314422,"withdrawal,deposit"
Al-Behera,All Areas,Tanmiya Nasser,30.92230447,29.95121672,"withdrawal,deposit"
Al-Behera,All Areas,Tanmiya Shabrakhit,31.02893672,30.71354872,"withdrawal, deposit"
Al-Behera,All Areas,Tanmiya Mahmoudia,31.18416312,30.52710423,"withdrawal,deposit"
Al-Behera,All Areas,The local unit of the village of Al-Najila,30.73383215,30.77503088,"withdrawal,deposit"
Al-Behera,All Areas,Madrab Al-Buhaira,31.046464,30.46865632,"withdrawal,deposit"
Al-Behera,All Areas,The local unit of the village of Sanhour,31.07099786,30.55110508,"withdrawal,deposit"
Al-Behera,All Areas,The local unit of the village of Aflaqa,31.06715304,30.47713406,"withdrawal, deposit"
Al-Behera,All Areas, Nasser Agency North Tahrir,30.997523,30.136301,"Full Function"
Al-Behera,All Areas,Egypt Exchange Damanhour,31.032126,30.451576,"Withdrawal, Deposit and Exchange"
Al-Behera,All Areas,Boys Damanhour Secondary Institute Al-Azhar,31.03146,30.459748,"Withdrawal, Deposit and Exchange"
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.67059438,30.07277643,Withdrawal
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.671835,30.073109,Withdrawal
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.632194,30.2275,Withdrawal
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.662002,30.08606,Withdrawal
Al-Behera,Alnobaria Algadida,New Nubaria City Development Authority,30.671835,30.073109,"Cash Dispenser only"
Al-Behera,Alnobaria Algadida,Alwady Company For Feed - Alnoubaria,30.662002,30.08606,"Cash Dispenser only"
Al-Behera,Alnobaria Algadida,Noubaria Company for the manufacture and refining of sugar,30.632194,30.2275,"Cash Dispenser only"
Al-Behera,Damanhour,Damanhour,31.026177,30.451221,Withdrawal
Al-Behera,Damanhour,Damanhour,31.051574,30.463915,Withdrawal
Al-Behera,Damanhour,Damanhour,31.032701,30.464771,Withdrawal
Al-Behera,Damanhour,Damanhour,31.036388,30.457638,Withdrawal -Deposit – Forex
Al-Behera,Damanhour,Damanhour,31.037774,30.433125,Withdrawal -Deposit – Forex
Al-Behera,Damanhour,Damanhour,31.052879,30.462731,Withdrawal -Deposit – Forex
Al-Behera,Damanhour,Damanhour,31.03936,30.455253,Withdrawal
Al-Behera,Damanhour,Damanhour,31.03975,30.458095,Withdrawal
Al-Behera,Damanhour,Damanhour,31.044442,30.470853,Withdrawal
Al-Behera,Damanhour,Damanhour,31.03450281,30.47469798,Withdrawal
Al-Behera,Damanhour,Damanhour,31.03449464,30.47471262,Withdrawal
Al-Behera,Damanhour,Damanhour,31.04241948,30.46890924,Withdrawal -Deposit – Forex
Al-Behera,Damanhour,Damanhour,31.036522,30.456495,Withdrawal
Al-Behera,Damanhour,Damanhour,31.04408,30.475274,Withdrawal
Al-Behera,Damanhour,Damanhour,31.041921,30.473102,Withdrawal
Al-Behera,Damanhour,Damanhour,31.040307,30.468207,Withdrawal
Al-Behera,Damanhour,19011 Pharmacy Damanhour,31.04438807,30.4667885,"سحب فقط"
Al-Behera,Damanhour,Albuhiera Azhar Area 2,31.05193166,30.46430279,"سحب - إيداع - تغيير عملة"
Al-Behera,Damanhour,Middle Damanhour Electricity Company,31.04444207,30.47085251,"سحب فقط"
Al-Behera,Damanhour,Damanhour train station,31.03428061,30.46823018,"سحب فقط"
Al-Behera,Damanhour,Carrefour - Damanhour,31.03732147,30.45559064,"سحب - إيداع - تغيير عملة - صرف من الإيداعات GBRU"
Al-Behera,Damanhour,Sharnoub Community Development Association,31.013742,30.57017929,"سحب - إيداع - تغيير عملة - صرف من الإيداعات GBRU"
Al-Behera,Damanhour,We Ciao Mall Albuhira,31.0463062,30.4652941,"deposit,withdraw and exchange"
Al-Behera,Damanhour,Damanhour State Cases Authority ,31.040307,30.468207,withdrawal only
Al-Behera,Damanhour,General Office of the Middle Delta Company for the production of electricity in Damanhour,31.03936,30.455253,withdrawal only
Al-Behera,Damanhour,General Office of Buhaira Governorate,31.03975,30.458095,withdrawal only
Al-Behera,Damanhour,Behira Azhar Area,31.051574,30.463915,"Cash Dispenser only"
Al-Behera,Damanhour,Albehira Agricultural Administration,31.026177,30.451221,"Cash Dispenser only"
Al-Behera,Damanhour,Albuhaira Youth and Sports Directorate,31.036522,30.456495,"Cash Dispenser only"
Al-Behera,Damanhour,The local unit of the Council and the city of Damanhur,31.032701,30.464771,"Cash Dispenser only"
Al-Behera,Damanhour,Alsorady Hypermarket - Damanhour,31.041921,30.473102,"Cash Dispenser only"
Al-Behera,Damanhour,Directorate of Roads and Transportation in Beheira,31.04408,30.475274,"Cash Dispenser only"
Al-Behera,Damanhour,Damanhour University - Faculty of Commerce,31.037774,30.433125,"Full Function"
Al-Behera,Damanhour,Ranin Damanhour,31.02842246,30.44735618,"Full Function"
Al-Behera,Damanhour,Damanhour University - Faculty of Pharmacy and Science,31.052879,30.462731,"Full Function"
Al-Behera,Damanhour,Damanhour University - Faculty of Arts,31.036388,30.457638,"Full Function"
Al-Behera,Damanhour,The local unit of the village of Aflaqa,31.06715304,30.47713406,"withdrawal, deposit"
Al-Behera,Damanhour,Egypt Exchange Damanhour,31.032126,30.451576,"Withdrawal, Deposit and Exchange"
Al-Behera,Damanhour,Boys Damanhour Secondary Institute Al-Azhar,31.03146,30.459748,"Withdrawal, Deposit and Exchange"
Al-Behera,Edco,Edco,31.301812,30.301819,Withdrawal -Deposit – Forex
Al-Behera,Edco,Edco Electrical Engineering -Rashid - Beheira Governorate,31.301812,30.301819,"Cash Dispenser only"
Al-Behera,El Dalangat,El Dalangat,30.829702,30.535141,Withdrawal
Al-Behera,El Dalangat,El Dalangat,30.768322,30.594444,Withdrawal
Al-Behera,El Dalangat,El Dalangat,30.827806,30.536877,Withdrawal
Al-Behera,El Dalangat,El Dalangat,30.82785,30.536831,Withdrawal
Al-Behera,El Dalangat,El Dalangat,30.833752,30.530286,Withdrawal
Al-Behera,El Dalangat,Etisalat -Franchiez Almostaqbal - Albostan,30.82974495,30.52961337,"سحب فقط"
Al-Behera,El Dalangat,The local unit Alwafaieah Village,30.76832208,30.59444399,"سحب فقط"
Al-Behera,El Dalangat,Delengat City Council,30.827806,30.536877,"Cash Dispenser only"
Al-Behera,El Dalangat,Aldelengat Health Administration,30.829702,30.535141,"Cash Dispenser only"
Al-Behera,El Dalangat,Delengat City Council 2,30.82785,30.536831,"Cash Dispenser only"
Al-Behera,El Dalangat,Dilangat Central Hospital,30.833752,30.530286,"Cash Dispenser only"
Al-Behera,El Dalangat,Tamwely Al-Dalengat,30.82955574,30.53589971,"withdrawal ,deposit"
Al-Behera,Etay Al Barroud,Etay Al Barroud,30.886466,30.662967,Withdrawal
Al-Behera,Etay Al Barroud,Etay Al Barroud,30.88483388,30.66364617,Withdrawal
Al-Behera,Etay Al Barroud,Etay Al Barroud,30.884864,30.665297,Withdrawal
Al-Behera,Etay Al Barroud,Etay Al Barroud,30.886553,30.667319,Withdrawal
Al-Behera,Etay Al Barroud,Etay Al Barroud,30.880486,30.653383,Withdrawal -Deposit – Forex
Al-Behera,Etay Al Barroud,Itay Albaroud Court,30.88655,30.667319,withdrawal only
Al-Behera,Etay Al Barroud,Al Hoota Health Unit,30.86942495,30.70074488,"Full Function"
Al-Behera,Etay Al Barroud,Itay Albaroud  Educational Administration,30.886466,30.662967,"Cash Dispenser only"
Al-Behera,Etay Al Barroud,Agricultural Administration Itai El-Baroud - Beheira,30.88563219,30.65812817,"Full Function"
Al-Behera,Etay Al Barroud,Itay Albaroud Electrical Engineering,30.880486,30.653383,"Full Function"
Al-Behera,Etay Al Barroud,Tamwely Etay Al-Baroud,30.88808594,30.67314422,"withdrawal,deposit"
Al-Behera,Housh Eissa,Housh Eissa,30.9135036,30.29365764,Withdrawal
Al-Behera,Housh Eissa,Housh Eissa,30.912765,30.295561,Withdrawal
Al-Behera,Housh Eissa,Housh Eissa,30.91770833,30.30043628,Withdrawal -Deposit – Forex
Al-Behera,Housh Eissa,Housh Eissa,30.915766,30.297315,Withdrawal
Al-Behera,Housh Eissa,Alekhlas Mall,30.7009946,30.2682834,"سحب فقط"
Al-Behera,Housh Eissa,Housh Iesa City Council,30.915766,30.297315,"Cash Dispenser only"
Al-Behera,Housh Eissa,Laqana 0 Team Helmy Afifi Camp,30.912765,30.295561,"Cash Dispenser only"
Al-Behera,Housh Eissa,Tamwely Hosh Eissa,30.91038848,30.29732155,"withdrawal,deposit"
Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.13386822,30.13512986,Withdrawal
Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.135432,30.129149,Withdrawal
Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.139199,30.121385,Withdrawal
Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.139143,30.12155,Withdrawal
Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.130591,30.122248,Withdrawal
Al-Behera,Kafr Al-Dawar,Alshamela Hospital Kafr Aldawar,31.130591,30.122248,withdrawal only 
Al-Behera,Kafr Al-Dawar,Kafr El-Dawwar City Branch 2,31.04241948,30.46890924,withdrawal only
Al-Behera,Kafr Al-Dawar,Kafr Aldawar Central Hospital,31.139199,30.121385,"Cash Dispenser only"
Al-Behera,Kafr Al-Dawar,Itay Albaroud City Council,31.139199,30.121385,"Cash Dispenser only"
Al-Behera,Kafr Al-Dawar,Kafr Aldawar Central Hospital 2,31.139143,30.12155,"Cash Dispenser only"
Al-Behera,Kafr Al-Dawar,Kafr Aldawar City Council,31.135432,30.129149,"Cash Dispenser only"
Al-Behera,Kafr Al-Dawar, Nasser Agency North Tahrir,30.997523,30.136301,"Full Function"
Al-Behera,Koum Hamada,Koum Hamada,30.763683,30.704811,Withdrawal -Deposit - Forex
Al-Behera,Koum Hamada,Koum Hamada,30.7637539,30.69974764,Withdrawal -Deposit – Forex
Al-Behera,Koum Hamada,Koum Hamada,30.760111,30.694501,Withdrawal
Al-Behera,Koum Hamada,Koum Hamada,30.699037,30.668604,Withdrawal
Al-Behera,Koum Hamada,Saft Alinab Local Unit,30.81082688,30.68590817,"سحب فقط"
